Rank,Name,Team,Cl,Height,Position,G,ST,STPG
252,Isaiah Wong,Miami (FL),Jr.,6-4,G,37,51,1.38
253,Tytan Anderson,UNI,So.,6-6,G,32,44,1.38
-,Jesse Edwards,Syracuse,Sr.,6-11,C,32,44,1.38
-,Walyn Napper,Longwood,Jr.,6-1,G,32,44,1.38
-,Ben Sheppard,Belmont,Sr.,6-6,G,32,44,1.38
257,Davonte Davis,Arkansas,Jr.,6-4,G,35,48,1.37
-,Daniss Jenkins,Iona,Jr.,6-3,G,35,48,1.37
259,Amari Williams,Drexel,Jr.,6-10,F,30,41,1.37
260,Mo Arnold,Southern Miss.,Jr.,6-1,G,33,45,1.36
-,Ivan Reynolds,CSU Bakersfield,So.,6-4,G,33,45,1.36
262,Nick Johnson,New Hampshire,Jr.,6-4,G,25,34,1.36
263,Mason Archambault,South Dakota,Sr.,6-0,G,31,42,1.35
-,Eric Hunter Jr.,Butler,Sr.,6-4,G,31,42,1.35
-,Ishmael Leggett,Rhode Island,So.,6-2,G,31,42,1.35
-,"Antonio ""TJ"" Madlock",Alabama St.,So.,6-3,G,31,42,1.35
-,Atin Wright,CSUN,So.,6-1,G,31,42,1.35
268,Cameron Henry,Indiana St.,So.,6-6,G,34,46,1.35
269,Tyler Whitney-Sidney,Lehigh,So.,6-2,G,29,39,1.34
270,Trey Calvin,Wright St.,Sr.,6-0,G,32,43,1.34
-,Caleb Mills,Florida St.,Jr.,6-3,G,32,43,1.34
272,Sean East II,Missouri,Jr.,6-3,G,35,47,1.34
-,Zytarious Mortle,Texas Southern,Fr.,6-2,G,35,47,1.34
-,Isaac Mushila,A&M-Corpus Christi,Sr.,6-5,F,35,47,1.34
275,Tylor Perry,North Texas,Sr.,5-11,G,36,48,1.33
-,Antrell Charlton,Fordham,Jr.,6-5,G,33,44,1.33
-,Joey Reilly,Sacred Heart,Sr.,6-0,G,33,44,1.33
-,Tyson Acuff,Eastern Mich.,Jr.,6-4,G,30,40,1.33
-,Jarron Coleman,Ball St.,Sr.,6-5,G,30,40,1.33
-,Xavier Pinson,New Mexico St.,Sr.,6-2,G,24,32,1.33
281,Johnathan Massie,McNeese,So.,6-6,G,34,45,1.32
282,Luis Kortright,Quinnipiac,Jr.,6-3,G,31,41,1.32
-,Dakota Leffew,Mount St. Mary's,Jr.,6-5,G,31,41,1.32
-,Jermaine Marshall,Samford,Jr.,6-6,F,31,41,1.32
285,Ahamadou Fofana,UMES,Sr.,6-1,G,25,33,1.32
-,Briggs McClain,Hartford,Jr.,6-4,G,25,33,1.32
287,Noah Meren,Florida A&M,Sr.,6-5,G,22,29,1.32
288,Darrion Trammell,San Diego St.,Sr.,5-10,G,38,50,1.32
