Rank,Name,Team,Cl,Height,Position,G,3FG,3FGA
-,Keith Higgins Jr.,Lehigh,So.,6-4,G,30,63,152
-,Miller Kopp,Indiana,Sr.,6-7,F,35,63,142
-,Ryan Moffatt,Colgate,Sr.,6-6,F,33,63,139
-,Zach Nutall,SMU,Sr.,6-3,G,32,63,193
-,Joey Reilly,Sacred Heart,Sr.,6-0,G,33,63,162
-,Sir'Jabari Rice,Texas,Sr.,6-4,G,38,63,170
-,DJ Richards,UTSA,Fr.,6-5,G,32,63,189
-,Cormac Ryan,Notre Dame,Sr.,6-5,G,32,63,183
291,Zach Austin,High Point,So.,6-7,F,31,62,186
-,Deonte Billups,Purdue Fort Wayne,Sr.,6-4,G,32,62,163
-,Jack Collins,Monmouth,Fr.,6-5,G,33,62,209
-,Sean Conway,VMI,Sr.,6-4,G,29,62,164
-,Xavier DuSell,Wyoming,Jr.,6-4,G,31,62,147
-,Armaan Franklin,Virginia,Sr.,6-4,G,33,62,166
-,Terence Harcum,App State,So.,6-3,G,32,62,173
-,Chris Harris,Southeast Mo. St.,Sr.,6-3,G,35,62,197
-,Cameron Healy,Southern Utah,Sr.,6-3,G,36,62,146
-,Garrett Hicks,Alabama A&M,Sr.,6-0,G,31,62,154
